Sr. No.,Course  No.,Course Title,"Credits
L-T-P-C",Instructor,Msc/ Mtech/ PhD/ IphD,1st Sem,3rd Sem CS,3rd Sem EE,3rd Sem ME,3rd Sem CE,5th Sem CS,5th Sem EE,5th Sem ME,5th Sem CE,7th Sem CE,7th Sem CS,7th Sem EE,7th Sem ME,MV 1st sem,MV 3rd sem,MS 1st sem,MS 3rd sem,MP 1st sem,MP 3rd sem,MA 1st sem,MA 3rd sem,Mtech (EEM) 1st sem,Mtech (EEM) 3rd sem,Mtech  (MES) 1st sem,Mtech (MES) 3rd sem,Mtech (STE)  1st sem,Mtech (STE)  3rd sem,MT(Bio)1st,MT(Bio) 3rd,M.Sc (chem)  1st sem,M.Sc (Chem) 3rd sem,M.Sc (math)  1st sem,M.Sc (math)  3rd sem,M.Sc (Physics)  1st sem,M.Sc (Physics)  3rd sem,I-Ph.D. 1st sem,I-Ph.D. 3rd sem,I-Ph.D. 5th  sem,Competence
58,EE 508P,Practicum on Electrical Drives,0-0-3-2,HM,MS/PhD,,,,,,,,,,,,E,,,,,,C,,,,,,,,,,,,,,,,,,,,,
59,EE 513,Special Electrical Machines,3-0-0-3,BSR,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,
60,EE 527,Analysis and Design of Power Electronic Converters,3-0-0-3,NRT,MS/PhD,,,,,,,,,,,,E,,,,,,C,,,,,,,,,,,,,,,,,,,,,
61,EE 527P,Practicum on Analysis and Design of Power Electronic Converters,0-0-3-2,NRT,MS/PhD,,,,,,,,,,,,E,,,,,,C,,,,,,,,,,,,,,,,,,,,,
62,EE 528,Modeling and Analysis of Electrical Machines,3-0-0-3,BSR,MS/PhD,,,,,,,,,,,,E,,,,,,C,,,,,,,,,,,,,,,,,,,,,
63,EE 622,Microwave Integrated Circuits,3-0-0-3,GSR,MS/PhD,,,,,,,,,,,,E,,E,E,,,,,,,,,,,,,,,,,,,,,,,,
64,EE 624P,Post Graduate Project-I,8,NRT,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,
65,EE 626P,Post Graduate Project-I,0-0-20-10,samar,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,
66,ME 205,Machine Drawing,1-0-4-3,Talha,,,E,E,C,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,CE 201,Surveying: Traditional and Digital,2-0-2-3,DPS,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,CE 251,Hydraulics Engineering,3-0-0-3,RV  ,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,CE 587P,Industrial/Research Internship,0-0-2-1,RS,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,C,,,,,,,,,,,,
70,ME 206,Mechanics of   Solids,2.5-0.5-0-3,RG,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,ME 303,Heat Transfer,2.5-0.5-0-3,GB,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,ME 308,Manufacturing Engineering,3-0-0-3,SZ,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,ME 311P,Design Lab I,0-0-2-1, Talha,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,CE 303,Water Resources Engineering,3-0-0-3,DS,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,CE 304P,Hydraulics Engineering Laboratory,0-0-2-1,DS,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,CE 305P,Environment and Earth Science Lab,0-0-2-1,AJP,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,CE 351,Design of Reinforced Concrete Structures,2-1-0-3,Sandip,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,CE 352,Transportation Engineering,3-0-0-3,VUK,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,CE 353P,Civil Engineering Drawing,0-0-2-1,"Subhamoy, VUK",,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,CE 354P,Building and Pavement Materials Laboratory,0-0-21,RS,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,CE 401,Design of Steel Structures,2-1-0-3,RS,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,CE 402,Geotechnical Engineering II,3-0-2-4,Mousumi/MG,,,,,,,,,,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,ME 305,Design of Machine Elements,3-1-0-4,HP,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,
84,ME 310P,Thermo-fluid Laboratory,0-0-3-2,Pradeep,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,
85,ME 351,Management of Manufacturing and Logistics Systems,3-0-0-3,swati,,,,,,,,,E,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,
86,CE 508,Photogeology and Photogrammetry,2-0-2-3,DPS,MS/PhD,,,,,,,,,,E,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,
87,CE 504,Slope stability and Retaining structures,2-1-0-3,Mousumi,MS/PhD,,,,,,,,,,E,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,
88,CE 510,Modelling and Simulation in Water Resources Engineering,2-0-2-3,RK,MS/PhD,,,,,,,,,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,CE 511,Structural Dynamics with Application to Earthquake Engineering,3-0-0-3,Subhamoy,MS/PhD,,,,,,,,,,E,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,
90,CE 555,Advanced Design of Structures,3-0-0-3,KS,MS/PhD,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,
91,CE 556P,Structural Engineering Laboratory,0-0-4-2,Sandip,MS/PhD,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,
92,CE 688P,Post Graduate Project-I,0-0-24-12,Sandip,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,
93,ME 504,Numerical Methods for Engineering Computation,3-0-0-3,AG,MS/PhD,,,,,,,,E,E,E,,,E,,,,,,,,,,,,,C,,,,,,,,,,,,,
94,CE 557,Solid Mechanics in Structural Engineering,3-0-0-3,MG,MS/PhD,,,,,,,,,,E,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,
95,CE 501,Remote Sensing,2-0-2-3,DPS,MS/PhD,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,ME 601,Advanced Finite Element Methods,3-0-0-3,"SCJ, RK",MS/PhD,,,,,,,,,,,,E,E,,,,,,,,,E,E,E,E,,,,,,,,,,,,,,
97,ME 602,Mechanical Vibration,3-0-0-3,Amit,MS/PhD,,,,,,,,,,,,E,E,,,,,,,,,E,E,E,E,,,,,,,,,,,,,,
98,ME 603,Advanced Fluid Mechanics,3-0-0-3,PAK,MS/PhD,,,,,,,,,,,,,E,,,E,E,,,,,E,E,E,E,,,,,,,,,,,,,,
99,ME 610,Advanced Thermodynamics,3-1-0-4,PAK,MS/PhD,,,,,,,,,,,,,E,,,E,E,,,,,E,E,E,E,,,,,,,,,,,,,,
100,ME 625,Introduction to Turbulence and its Modelling,3-0-0-3,Pradeep,MS/PhD,,,,,,,,,,,,,E,,,,,,,,,E,E,E,E,,,,,,,,,,,,,,
101,ME 632,Mechanics for Energy Systems,3-0-0-3,RS,MS/PhD,,,,,,,,,,,,,E,,,,,,,,,C,,C,,,,,,,,,,,,,,,
102,ME 633,Design of Energy Systems,3-0-0-3,Parmod,MS/PhD,,,,,,,,,,,,,E,,,,,,,,,,C,,,,,,,,,,,,,,,,
103,EN 501,Energy Sources  and Power Plants,3-0-0-3,Atul,MS/PhD,,,,,,,,,,,,,E,,,,,,,,,C,,C,,,,,,,,,,,,,,,
104,EN 502,Emerging Energy Sources,3-0-0-3,Powar,MS/PhD,,,,,,,,,,,,E,E,,,,,,,,,C,,C,,,,,,,,,,,,,,,
105,EN 503,Energy Storage Technologies,3-0-0-3,Rik,MS/PhD,,,,,,,,,,,,,E,,,,,,,,,C,,C,,,,,,,,,,,,,,,
106,EN 504,Energy: Environment  Policy and Law,3-0-0-3,SDG.VR,MS/PhD,,,,,,,,,,,E,E,E,,,,,,,,E,C,,C,,,,,,,,,,,,,,,
107,EN 505P,Energy Systems Laboratory,0-0-4-2,"Rik, VB, Atul, Powar",,,,,,,,,,,,,,,,,,,,,,,C,,C,,,,,,,,,,,,,,,
108,DP 500P,Research Practicum,0-0-6-3,JKR,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,
109,EN 613,Creep-Fatigue Interaction,3-0-0-3,VB,MS/PhD,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,
110,DP 512P,Industrial Training,1-0-0-1,RG/JKR,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,,,,,,,,,,,,
111,DP 513P,Post Graduate Project-I,14,JKR/RG,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,,,,,,,,,,,,
112,HS 105,Basic Communication Skills,3-0-0-3,GS,,,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communicative Comp.
113,HS 202,Principles of Economics,3-0-0-3,"SDG, VR",,,,,,,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,Managerial Comp
114,HS 205,Financial Accounting,3-0-0-3,Puran,,,,,,,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,Managerial Comp
115,HS 252,Introduction to Psychology,3-0-0-3,"PB, LC:VD",,,,,,,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,Social Comp
116,HS 263,Popular Culture in Modern India : A Historical Perspective,3-0-0-3,Devika,,,,,,,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,Free Elective
117,HS 358,Science Writing,3-0-0-3,Aruna,,,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communicative Comp.
118,HS 391,Introduction to World History,3-0-0-3,RD,,,,,,,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,Social Comp
119,HS 461,Consumer Behavior,3-0-0-3,SD ,,,,,,,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,Managerial Comp
120,PH 511,Mathematical Physics,4-0-0-4,samar,,,,,,,E,E,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,,,,,C,,C,,,
121,PH 512,Classical Mechanics,4-0-0-4,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,
122,PH 513,Quantum Mechanics,3-0-0-3,SKP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,
123,PH 514,Electronics,3-0-0-3,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,
124,PH  515P,Physics Laboratory,0-0-5-3,PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,
125,PH 516,Research Project I,0-0-4-2,Ajay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,
126,PH 517,Research Project II,0-0-8-4,Ajay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,
127,PH 518P,Post Graduate Project-I,0-0-6-3,PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,
128,PH 611P,Experimental Research Techniques,0-0-7-4,CSY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,
129,PH 603,Advanced Condensed Matter Physics,3-0-0-3,CSY,MS/PhD,,,,,,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,,,,E,,,,E,,E,E,
130,PH 701,Introduction to Molecular Simulation,4-0-0-4,PJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,E,E,
131,PH 508,Magnestism and Magnetic Materials,3-0-0-3,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,E,,E,E,
132,PH 613,Special Topics in Quantum Mechanics,3-0-0-3,HV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,E,
133,PH 614,Seminar and Report,0-0-4-2,PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,
134,PH 601,Mesoscopic Physics and Quantum Transport,3-0-0-3,ajay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,E,E,
135,MA 511,Real Analysis,3-1-0-4,SA,MS/PhD,,,,,,E,E,E,E,E,E,E,E,,E,,E,,E,,,,E,,E,,E,,E,,E,C,,,E,,,,
136,MA 512,Linear Algebra,3-1-0-4,MM,MS/PhD,,,,,,,,,,,,,,,E,,E,,E,,,,E,,E,,E,,E,,E,C,,,E,,,,
137,MA 513,Ordinary Differential Equation,3-1-0-4,NK,MS/PhD,,,,,,E,E,E,E,E,E,E,E,,E,,E,,E,,,,E,,E,,E,,E,,E,C,,,E,,,,
138,MA 514,Computer Programming,3-0-0-3,Sarita,MS/PhD,,,,,,,,,,,,,,,E,,E,,E,,,,E,,E,,E,,E,,E,C,,,E,,,,
139,MA 514P,Computer Programming Lab,0-0-3-2,R Ray/Sarita,MS/PhD,,,,,,,,,,,,,,,E,,E,,E,,,,E,,E,,E,,E,,E,C,,,E,,,,
140,MA 515,Applied Mathematical Programming,3-1-0-4,MT,MS/PhD,,,,,,E,E,E,E,E,E,E,E,,E,,E,,E,,,,E,,E,,E,,E,E,E,C,E,E,E,,,,
141,MA 581,Post Graduate Project-I,0-0-20-10,NK (Coordinator),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,
142,MA 609,Numerics of Partial Differential Equations,3-0-0-3,R Ray,MS/PhD,,,,,,E,E,E,E,E,E,E,E,,E,,E,,E,,,,E,,E,,E,,E,E,E,E,E,E,E,,,,
143,MA 612,Operator Theory,3-0-1-4,KH,MS/PhD,,,,,,,,,,E,E,E,E,,E,,E,,E,,,,E,,E,,E,,E,,,E,E,,,,,,
144,BY 510,Advanced Cell Biology,3-0-0-3,PM,MS/PhD,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,
145,BY 511,Cell Physiology in health and disease,3-0-0-3,AP,MS/PhD,,,,,,E,E,E,E,E,E,E,E,E,,E,,E,,,,,,,,,,E,,,,,,,,,,,
146,BY 512,Quantitative and computational Biology,3-0-0-3,TPS,MS/PhD,,,,,,E,E,E,E,E,E,E,E,E,,E,,E,,,,,,,,,,C,,E,E,E,,,,,,,
147,BY 513,Cellular Bioprocess Technology,3-0-0-3,SKM,MS/PhD,,,,,,E,E,E,E,E,E,E,E,E,E,E,E,E,E,,,,,,,,,E,,E,E,E,E,E,E,,,,
148,BY 520P,Cell Biology and Physiology,0-0-2-1,AP/PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,
149,BY 521P,Computational Biology and Cellular Bioprocess Technology Lab,0-0-2-1,TPS/SKM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,
150,BY 525,Seminar,0-0-2-1,BioX faculties (RG will coordinate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,
151,BY 598,Post Graduate Project-I,0-0-32-16,BioX and other faculties (PM/SKM will coordinate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,
152,CY 501,Organic Reaction and Mechanism,4-0-0-4,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,
153,CY 506,Chemistry of Transition Elements,4-0-0-4,VKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,
154,CY 512,Advanced Quantum Chemistry,3-0-0-3,CKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,
155,CY 514,Chemical Thermodynamics & Electrochemistry,3-0-0-3,AH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,
156,CY 521,Mathematics for Chemists,3-0-0-3,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,
157,DP 501P,Design Practicum - 1,0-0-4-2,AH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,
158,CY 506P,Inorganic Chemistry Lab,0-0-8-4,PCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,
159,CY 511P,Physical Chemistry Laboratory,0-0-8-4,VKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,
