Course code,Course code,Course code,Course code,dcfvf
CS201,CS201,CS201,CS201,IC136
EE311,EE311,EE311,EE311,CS201
EE520,EE305,EE621,EE504,
EE512,EE608,EE5XX,EE508,
EE516,EE522,EE522,EE527,
EE524,EE5XX,EE622,EE528,
EE622,CS669,,,
EE615,CS507,,,
