Sr. No,Class,Strength
1,A1-3,117
2,A1-NKN,154
3,A5-1,54
4,A5-2,54
5,A5-4,63
6,A5-5,60
7,A9-1,196
8,SC-NKN,123
9,G-106,24
10,G-107,24
11,A10-1a,84
12,A10-1b,84
13,A10-1c,84
14,A10-1d,72
15,A10-2a,36
16,A10-2b,33
17,A10-2c,30
18,A10-3a,36
19,A10-3b,36
20,A10-3c,39
21,Hall A,85
22,Hall B,85
23,Hall C,40
24,A13-1A,300
25,A13-3A,200
26,A13-2A,70
27,A13-2B,70
28,A13-2C,40
29,A13-2D,40
